logFC	AveExpr	t	P.Value	adj.P.Val	B
PDGFRL	-1.23072309768281	6.60857233531504	-4.49577890435346	1.26346905967344e-05	0.000170342855513279	2.82052001041566
CAMK2A	-1.29377203348446	4.16890695892916	-4.47433778698732	1.38256349569146e-05	0.000183922284034809	2.73554137077993
CXCL14	-1.65643706558343	12.2820647229761	-4.45531857165509	1.49718367840918e-05	0.000196300683860054	2.66042999440279
ARC	-1.24712886765418	4.42656939518178	-4.38128483654046	2.03664365318349e-05	0.000253579866793449	2.37047040741344
LAMA1	-1.33050496612592	6.71989373342912	-4.35904873409867	2.23223674769709e-05	0.000273510476901122	2.28413627059766
CDA	-1.46310610542362	8.16500139591861	-4.34993330988114	2.31752294941637e-05	0.000280696472899366	2.24884602187894
CILP2	-1.37899793014909	5.24319942117942	-4.31417422623861	2.68328677226959e-05	0.000316757573511849	2.11097645268153
SLC7A11	-1.25823983579548	8.62268947642392	-4.29897324020175	2.85500382070185e-05	0.000332519089553646	2.05264547378821
FABP4	-2.18394178244042	6.51731875090465	-4.25460339869165	3.41859097738902e-05	0.000386687061911331	1.8833326533181
CSPG4	-1.24740165212982	10.8122879088394	-4.23797292954565	3.65612869778567e-05	0.000407331945864767	1.82023703610107
MYOM3	-1.42800453876231	6.9821454104982	-4.23005195134792	3.77474754336116e-05	0.000416157602233666	1.79025529486269
DSG1	-2.60211784068313	9.35460190957743	-4.22979189228692	3.7787038051303e-05	0.00041636449577608	1.78927171345177
CRYAB	-1.2257314284181	9.26093227913631	-4.21500254608058	4.0103431465966e-05	0.000437315251296354	1.73341685097472
WNT11	-1.26945751152465	4.8778884683139	-4.20261889808382	4.21470009053588e-05	0.000452938864802034	1.68676961170692
KLK11	-1.7828584317458	9.04779945139743	-4.1430779254607	5.3444562036066e-05	0.000547719688779589	1.46404777513496
SLIT2	-1.23406475187034	5.5341463024039	-4.14274222658142	5.35157951114413e-05	0.000548051014795993	1.46279938931034
D4S234E	-1.23778502030962	8.49503527848218	-4.07696734816791	6.9368363517217e-05	0.00067125374866032	1.21979661225395
PLEKHG4B	-1.31308798927861	6.20757332391607	-4.07448416856865	7.00470068307256e-05	0.000676512843105624	1.21068511660608
DUSP9	-1.23706535953544	6.11348983179241	-4.06024603722179	7.40621967782053e-05	0.000706431272842519	1.15852949755237
MMP10	-1.83510177721194	9.39716437345218	-4.05665011670072	7.51104554386762e-05	0.000714387851941918	1.14538106928376
ZNF883	-1.31521257324988	3.10158630876942	-4.05350240734874	7.60396564617218e-05	0.000721170043590778	1.1338793932287
ABCA12	-1.24814861421626	9.08929060107217	-4.03568388388966	8.15098509787315e-05	0.000764002212755235	1.06890956890434
MEG3	-1.23270668919518	4.78580547314817	-4.03418067693901	8.19881038096152e-05	0.000767396865014314	1.06343938095327
RDH12	-1.81614471620465	5.6662062530329	-4.02618555326184	8.45770745887266e-05	0.000786067727365575	1.03437330158163
ALOXE3	-1.26181285386027	6.81198356647043	-4.02550226247426	8.4801915096052e-05	0.000787485687448078	1.03189142298599
TLL1	-1.22954529178918	6.15616358992468	-4.01314145635125	8.89690142989116e-05	0.000815963644195378	0.987054074892847
SLC5A1	-1.64112071664144	6.50787954625905	-3.9719672029172	0.000104302548288854	0.000930588823213519	0.838523231565249
AKR1C2	-1.60255046456754	9.89525007846901	-3.89817103975461	0.000138276863523612	0.00117207497231424	0.575502635947701
GOLGA7B	-1.28252718238237	8.45269779676162	-3.88646833562476	0.000144548247777657	0.00121750124895098	0.534170765975284
DMKN	-1.49440272896385	11.3310557726426	-3.88635476670862	0.000144610411788826	0.00121751263852989	0.533770170125892
KRT14	-1.58445617984253	17.4416356767307	-3.78856301046087	0.000208683802193676	0.00164814927168425	0.192477614881453
B4GALNT4	-1.51369817705403	5.19345103794958	-3.75670949315981	0.000234813511149898	0.00181583673492936	0.0828932875080692
H19	-1.22573702712052	12.0952327113593	-3.72024548132869	0.000268520999702051	0.00202488095481535	-0.0415897226852842
SBSN	-1.81909895289275	11.9472245890026	-3.70481847352361	0.000284117044882698	0.00212012946537327	-0.0939449044660412
CALB2	-1.25404736309201	5.9291993583152	-3.69917723598426	0.000290030919592389	0.0021546230208383	-0.113043565736502
CDHR1	-1.33012598030475	7.66908386357089	-3.68270938226716	0.000307967055535525	0.00225853788237244	-0.168654443841642
PTPRD	-1.21451466747664	6.57434694085478	-3.64293221805081	0.000355707451216552	0.00251914357297721	-0.302105878726749
GJB6	-1.43553019467284	11.64908908803	-3.62265535266128	0.000382651209388615	0.00267215202761404	-0.369657317144719
AKR1C3	-1.27222338318379	9.31591579079782	-3.60693239852432	0.000404856008060645	0.00279793653344224	-0.421815200412148
CDSN	-1.90783737685864	8.53620683633	-3.52587511098242	0.000539918305606945	0.00352797140879786	-0.687609679782247
PI3	-1.65436654850546	12.6733750724805	-3.43155754433656	0.000750107433416632	0.0045957661910002	-0.990303270475915
TNNI1	-1.21193496002279	7.14689601684337	-3.41411291121957	0.000796555237917459	0.00481516679297869	-1.04550643533887
AJAP1	-1.43602391757486	5.31875916975951	-3.2879974867745	0.00122143666168052	0.00674231690198668	-1.43726611652913
S100A7A	-1.63825131502804	8.40422350214736	-3.08764284227007	0.00234932103011792	0.0114358756002895	-2.03280728599096
FLG	-1.32790333314916	6.65298194607948	-2.9992714085001	0.00310420518950758	0.0142250611350724	-2.28485712095859
CPA4	-1.2384095139097	8.34160919568016	-2.99063467778801	0.00318885599448745	0.0145298329234486	-2.30913776115882
HEPHL1	-1.3607375504618	9.14252628777201	-2.94227200146345	0.00370335620223566	0.0162991634480018	-2.4439344166798
KRT1	-1.91243490102313	9.67923475530122	-2.89755356132947	0.00424572750972394	0.0181748365345698	-2.56680638528982
IL24	-1.27215542119613	6.52952004727458	-2.80070406217636	0.00567752700657259	0.0228849946041051	-2.82705854914943
