k	cluster	item	itemConsensus
563	3	2	TCGA.CV.7413.01	0.0140992293848886
564	3	2	TCGA.CV.7423.01	0.00666107163348663
565	3	2	TCGA.CV.7435.01	0.0129978574390433
566	3	2	TCGA.CV.A45X.01	0.0111261131103943
567	3	2	TCGA.DQ.7590.01	0.0161859412756836
568	3	2	TCGA.HD.A633.01	0.00619590873328088
569	3	2	TCGA.IQ.7631.01	0.017649020002064
570	3	2	TCGA.MT.A7BN.01	0.0205307516022846
571	3	2	TCGA.P3.A6T0.01	0.0120755763278308
572	3	2	TCGA.P3.A6T5.01	0.0132752900655452
573	3	2	TCGA.P3.A6T7.01	0.0168355722473194
574	3	2	TCGA.P3.A6T8.01	0.00608870467789645
575	3	2	TCGA.QK.A6IH.01	0.0153410617180033
576	3	2	TCGA.QK.A6VB.01	0.0210492120257011
577	3	2	TCGA.UF.A71A.01	0.0156435942255222
578	3	2	TCGA.UF.A71B.01	0.00760901586188948
579	3	2	TCGA.UF.A7JA.01	0.0143030842127794
580	3	2	TCGA.UF.A7JC.01	0.00637208040512609
581	3	2	TCGA.WA.A7GZ.01	0.0125446640468434
582	3	2	TCGA.CQ.A4C7.01	0.0192575443630988
583	3	2	TCGA.CN.6020.01	0.0177730611848206
584	3	2	TCGA.BB.A5HU.01	0.0207902273297562
585	3	2	TCGA.CR.7379.01	0.0208442270336807
586	3	2	TCGA.P3.A6SX.01	0.0211825174683957
587	3	2	TCGA.QK.A8Z7.01	0.0175866530049435
588	3	2	TCGA.UF.A7JD.01	0.0214208033425755
589	3	2	TCGA.MT.A67D.01	0.0142551000611286
590	3	2	TCGA.CN.5358.01	0.838243488107569
591	3	2	TCGA.BA.A6DD.01	0.964075565859164
592	3	2	TCGA.CN.5359.01	0.122591443085157
593	3	2	TCGA.CR.5248.01	0.906561859302719
594	3	2	TCGA.CR.6481.01	0.880127755176198
595	3	2	TCGA.CR.7376.01	0.464792317686302
596	3	2	TCGA.CR.7386.01	0.532588931104292
597	3	2	TCGA.MZ.A5BI.01	0.88609239597906
598	3	2	TCGA.CR.7373.01	0.371746632499812
599	3	2	TCGA.CN.6013.01	0.87027896562
600	3	2	TCGA.CN.5369.01	0.96090179085942
601	3	2	TCGA.CN.A6V1.01	0.905192996717576
602	3	2	TCGA.CQ.5331.01	0.962680766782821
603	3	2	TCGA.CR.6478.01	0.958170235073474
604	3	2	TCGA.CV.6938.01	0.954440390141783
605	3	2	TCGA.CV.6942.01	0.969103776919906
606	3	2	TCGA.H7.A76A.01	0.965363243155592
607	3	2	TCGA.TN.A7HI.01	0.914997295516417
608	3	2	TCGA.BA.5152.01	0.948413409103686
609	3	2	TCGA.BA.5149.01	0.156832649699043
610	3	2	TCGA.BA.5153.01	0.960396245159743
611	3	2	TCGA.BA.5556.01	0.965969942031064
612	3	2	TCGA.BA.5559.01	0.96400047082819
613	3	2	TCGA.BA.A6DJ.01	0.042271002811342
614	3	2	TCGA.BB.4223.01	0.964511873044504
615	3	2	TCGA.BB.7866.01	0.970573996422264
616	3	2	TCGA.BB.A6UM.01	0.966804549235047
617	3	2	TCGA.CN.4734.01	0.969114908685498
618	3	2	TCGA.CN.5365.01	0.111369248725923
619	3	2	TCGA.CN.5373.01	0.96023866246266
620	3	2	TCGA.CN.5374.01	0.958463637479775
621	3	2	TCGA.CN.6011.01	0.0397364826035157
622	3	2	TCGA.CN.6995.01	0.970591433977359
623	3	2	TCGA.CN.A499.01	0.966903942708158
624	3	2	TCGA.CN.A642.01	0.965228675032233
625	3	2	TCGA.CQ.5334.01	0.962314077868409
626	3	2	TCGA.CQ.7063.01	0.97304070676075
627	3	2	TCGA.CQ.7068.01	0.970490091339889
628	3	2	TCGA.CQ.7071.01	0.629020352263382
629	3	2	TCGA.CQ.A4C6.01	0.968446326529898
630	3	2	TCGA.CQ.A4CD.01	0.960204941010236
631	3	2	TCGA.CR.5243.01	0.223957954987273
632	3	2	TCGA.CR.5249.01	0.966981442159031
633	3	2	TCGA.CR.6467.01	0.965667951434759
634	3	2	TCGA.CR.6470.01	0.967085532920334
635	3	2	TCGA.CR.6471.01	0.667935078526078
636	3	2	TCGA.CR.6480.01	0.919964206779368
637	3	2	TCGA.CR.6482.01	0.964045539953045
638	3	2	TCGA.CR.6487.01	0.962364173313254
639	3	2	TCGA.CR.6492.01	0.936707249194393
640	3	2	TCGA.CR.7377.01	0.963060057657094
641	3	2	TCGA.CR.7380.01	0.160323713915922
642	3	2	TCGA.CR.7383.01	0.92500621185093
643	3	2	TCGA.CR.7385.01	0.96318864371394
644	3	2	TCGA.CR.7395.01	0.960293564378786
645	3	2	TCGA.CR.7404.01	0.963889429253895
